round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
18,618,0.7880258899676376,0.788961038961039,0.8798609147369634,0.4279967219587197,0.14196156512005909,0.5006761352286931,random_forest,esta
19,602,0.7956810631229236,0.7966666666666666,0.8897252789704309,0.4094968437308302,0.13594672766092772,0.5002940711583851,random_forest,esta
20,592,0.8277027027027027,0.8277027027027027,0.9020156135865596,0.39282651266202345,0.12679267622292695,0.4971455405837563,random_forest,esta
21,582,0.845360824742268,0.845360824742268,0.9192380817420673,0.359981244169065,0.11438336012780158,0.49975235177034566,random_forest,esta
22,546,0.826007326007326,0.8296296296296296,0.9186222812596438,0.3600484870324517,0.11584787418988911,0.5004581028899542,random_forest,esta
23,502,0.798804780876494,0.8,0.9097950826177362,0.37450087731728915,0.12418344131327726,0.5007082980324499,random_forest,esta
24,450,0.8244444444444444,0.8201754385964912,0.916641975308642,0.3661799411484827,0.12046671489483618,0.5017036788219187,random_forest,esta
25,406,0.8300492610837439,0.8316831683168316,0.9188041447256667,0.36697434467986656,0.11325334837180158,0.49870281397460514,random_forest,esta
26,350,0.8428571428571429,0.8370786516853933,0.9341714285714285,0.32853720104597717,0.10463066504374627,0.4998006599884774,random_forest,esta
27,288,0.8368055555555556,0.8391608391608392,0.9265046296296298,0.34141073974017483,0.10857701372791893,0.5006770711686076,random_forest,esta
28,226,0.8628318584070797,0.8660714285714286,0.927167358446237,0.3353862059566405,0.10734483040206094,0.5007451395084526,random_forest,esta
29,150,0.8666666666666667,0.8666666666666667,0.9388444444444445,0.31322552450578967,0.10097274567069275,0.5059746874281114,random_forest,esta
30,88,0.875,0.9024390243902439,0.9602272727272728,0.24205156557651863,0.07951883160175388,0.49012963950433286,random_forest,esta
1,624,0.5176282051282052,0.5173501577287066,0.5333456607495068,1.49749997193292,0.2918334508218496,0.5102986787598525,knn,esta
2,624,0.5849358974358975,0.583596214511041,0.6113473865877712,1.593064294580252,0.2638437082295687,0.5022351093134954,knn,esta
3,624,0.5961538461538461,0.5955414012738853,0.6264638806706115,1.3087701769655962,0.25662466620283736,0.49904678580957634,knn,esta
4,624,0.6025641025641025,0.6045751633986928,0.6312613001314925,1.6273601145426444,0.2570352278460538,0.49708366484754024,knn,esta
5,624,0.6217948717948718,0.6217948717948718,0.6696406558185404,1.5975373212680064,0.24319695015536086,0.5076206601705721,knn,esta
6,622,0.6591639871382636,0.653250773993808,0.7105075423124243,1.3341563177901268,0.22402732419423327,0.5132692700542042,knn,esta
7,620,0.6532258064516129,0.6527331189710611,0.7068262226847033,1.4610544848937146,0.22929436095446834,0.507541850351619,knn,esta
8,620,0.6790322580645162,0.6750788643533123,0.7297658688865765,1.2636944882421797,0.21607037422302974,0.5151882522818363,knn,esta
9,620,0.6967741935483871,0.6930379746835443,0.750353798126951,1.5154478683351968,0.20913222368123607,0.5023977108263182,knn,esta
10,620,0.7225806451612903,0.7284768211920529,0.7751925078043704,1.540768292029175,0.19816398302833899,0.4987102131245849,knn,esta
11,620,0.7306451612903225,0.726984126984127,0.7959625390218522,1.5080611951729632,0.18664093912348617,0.5053395062925513,knn,esta
12,620,0.7338709677419355,0.7217125382262997,0.809302809573361,1.4918604731080412,0.18194317616906486,0.5068598653565665,knn,esta
13,620,0.7596774193548387,0.7674418604651163,0.8310405827263267,1.3506197674079672,0.16851117507298197,0.4988944826043324,knn,esta
14,620,0.7387096774193549,0.7298136645962733,0.8156919875130073,1.3163859789246561,0.1772095955447891,0.5081995915597165,knn,esta
